time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/01/19/22:13:01.877689,134,1611074581,877236331,world,-0.439487248659,-0.564341783524,0.703801333904,-0.0355229265988,0.0452998504043,0.997757792473,-0.0341397225857
2021/01/19/22:13:01.897730,135,1611074581,897257887,world,-0.439520508051,-0.564316272736,0.703793764114,-0.0354040600359,0.0452307015657,0.997767329216,-0.0340760610998
2021/01/19/22:13:01.907678,136,1611074581,907272164,world,-0.439497113228,-0.564345121384,0.703816831112,-0.0355235785246,0.0453426502645,0.997756659985,-0.0341139920056
2021/01/19/22:13:01.927726,137,1611074581,927254794,world,-0.439498662949,-0.564323961735,0.703781604767,-0.0355333648622,0.0453032962978,0.997757315636,-0.0341401137412
2021/01/19/22:13:01.947639,138,1611074581,947251664,world,-0.439506113529,-0.564351201057,0.703815042973,-0.0355403907597,0.0453276075423,0.997755944729,-0.0341404825449
2021/01/19/22:13:01.957785,139,1611074581,957275850,world,-0.439507007599,-0.564339578152,0.703798890114,-0.0355500131845,0.0453241169453,0.997756540775,-0.0341169536114
2021/01/19/22:13:01.977787,140,1611074581,977248127,world,-0.439491093159,-0.564331293106,0.703804135323,-0.0355299673975,0.0453157201409,0.997758209705,-0.034098803997
2021/01/19/22:13:01.997796,141,1611074581,997252775,world,-0.439507573843,-0.564337909222,0.703806579113,-0.035515204072,0.0452932678163,0.997758924961,-0.034123826772
2021/01/19/22:13:02.007640,142,1611074582,7275238,world,-0.439508169889,-0.564346194267,0.703816413879,-0.03550452739,0.045340705663,0.997756361961,-0.0341471023858
2021/01/19/22:13:02.027641,143,1611074582,27245016,world,-0.439501494169,-0.564345002174,0.703792750835,-0.0354702807963,0.0453191325068,0.997757852077,-0.0341672189534
2021/01/19/22:13:02.047693,144,1611074582,47250664,world,-0.43951356411,-0.564336240292,0.703818619251,-0.035496134311,0.0452561825514,0.997761130333,-0.0341262184083
2021/01/19/22:13:02.057765,145,1611074582,57282479,world,-0.439487934113,-0.564341723919,0.703800976276,-0.0355796143413,0.0453743226826,0.997751295567,-0.0341716371477
2021/01/19/22:13:02.077595,146,1611074582,77219349,world,-0.439505517483,-0.564325749874,0.703797578812,-0.0354422368109,0.0452787280083,0.997762143612,-0.0341253653169
2021/01/19/22:13:02.097704,147,1611074582,97256275,world,-0.43949919939,-0.564339101315,0.703812539577,-0.0355114527047,0.0453234389424,0.997756659985,-0.0341555699706
2021/01/19/22:13:02.107676,148,1611074582,107297424,world,-0.439499139786,-0.564334869385,0.703795492649,-0.0355320312083,0.0452753230929,0.997758209705,-0.034149132669
2021/01/19/22:13:02.127762,149,1611074582,127244701,world,-0.439496666193,-0.564342677593,0.70380872488,-0.0355270914733,0.0452827550471,0.997757792473,-0.0341575555503
2021/01/19/22:13:02.147728,150,1611074582,147253424,world,-0.439502209425,-0.56433993578,0.703805148602,-0.0355664789677,0.0452528446913,0.997759342194,-0.0341126695275
2021/01/19/22:13:02.157740,151,1611074582,157281461,world,-0.439511805773,-0.564325928688,0.703793048859,-0.0354530960321,0.0451967455447,0.997765898705,-0.0341126546264
2021/01/19/22:13:02.177599,152,1611074582,177226664,world,-0.439493060112,-0.564344406128,0.703812241554,-0.0355548076332,0.0453319698572,0.997756302357,-0.0341081656516
2021/01/19/22:13:02.197664,153,1611074582,197254683,world,-0.439502567053,-0.564327895641,0.703788816929,-0.0355076566339,0.045238930732,0.997761726379,-0.0341203510761
2021/01/19/22:13:02.207668,154,1611074582,207259961,world,-0.439495205879,-0.564353406429,0.703812301159,-0.0355802550912,0.0453310571611,0.99775415659,-0.0341454558074
2021/01/19/22:13:02.227821,155,1611074582,227252442,world,-0.439507812262,-0.56433647871,0.703803539276,-0.0355743095279,0.0453278049827,0.997754395008,-0.0341477096081
2021/01/19/22:13:02.247651,156,1611074582,247252183,world,-0.439504474401,-0.564348161221,0.703810572624,-0.0355542972684,0.0453574247658,0.997753560543,-0.0341525860131
2021/01/19/22:13:02.257711,157,1611074582,257286553,world,-0.439493715763,-0.564322710037,0.703799307346,-0.0355746336281,0.0453012436628,0.997756659985,-0.0341174639761
2021/01/19/22:13:02.277773,158,1611074582,277250312,world,-0.439496576786,-0.564334154129,0.703806579113,-0.035581137985,0.045271076262,0.997757196426,-0.0341352187097
2021/01/19/22:13:02.297704,159,1611074582,297254479,world,-0.439496904612,-0.564333260059,0.703791618347,-0.0355035737157,0.0452667661011,0.997760474682,-0.0341256335378
2021/01/19/22:13:02.307664,160,1611074582,307260460,world,-0.439511358738,-0.564346194267,0.703805029392,-0.0355152115226,0.0452881231904,0.997758626938,-0.0341390371323
2021/01/19/22:13:02.327678,161,1611074582,327247479,world,-0.439495384693,-0.564339518547,0.703801572323,-0.0355625413358,0.0453615747392,0.99775415659,-0.0341219268739
2021/01/19/22:13:02.347646,162,1611074582,347252609,world,-0.439527362585,-0.564328849316,0.703789114952,-0.0354143492877,0.0452256016433,0.997767031193,-0.0340799130499
2021/01/19/22:13:02.357697,163,1611074582,357282757,world,-0.439497321844,-0.564345121384,0.70381373167,-0.0355250760913,0.0453439839184,0.997755467892,-0.0341469794512
2021/01/19/22:13:02.377691,164,1611074582,377252201,world,-0.439505666494,-0.564323067665,0.703787088394,-0.0354688800871,0.045269086957,0.997761487961,-0.0341282226145
2021/01/19/22:13:02.397688,165,1611074582,397252534,world,-0.439504534006,-0.564345180988,0.70381629467,-0.0355656594038,0.0453755483031,0.99775236845,-0.0341535583138
2021/01/19/22:13:02.407699,166,1611074582,407289312,world,-0.439507126808,-0.564340531826,0.703790009022,-0.0354989208281,0.045290324837,0.997758567333,-0.0341536104679
2021/01/19/22:13:02.427781,167,1611074582,427253534,world,-0.439507514238,-0.564341425896,0.703814148903,-0.035515408963,0.0453146547079,0.99775749445,-0.0341376215219
2021/01/19/22:13:02.447696,168,1611074582,447249757,world,-0.439499408007,-0.564330220222,0.703798115253,-0.0355104245245,0.0452992469072,0.997759342194,-0.0341094955802
2021/01/19/22:13:02.457810,169,1611074582,457326571,world,-0.4395006001,-0.564334988594,0.703804254532,-0.0355098210275,0.0452822111547,0.997758924961,-0.0341446809471
2021/01/19/22:13:02.477572,170,1611074582,477225720,world,-0.439485937357,-0.564339697361,0.703790545464,-0.0355242267251,0.0452700182796,0.997759640217,-0.0341245494783
2021/01/19/22:13:02.497714,171,1611074582,497260275,world,-0.439529508352,-0.564331710339,0.703798830509,-0.0354081988335,0.0451936125755,0.997768700123,-0.0340810976923
2021/01/19/22:13:02.507675,172,1611074582,507266516,world,-0.439496129751,-0.564346551895,0.703809857368,-0.0355133935809,0.0453218519688,0.997757077217,-0.0341425016522
2021/01/19/22:13:02.527677,173,1611074582,527243812,world,-0.439511120319,-0.564330935478,0.703795909882,-0.0355704165995,0.0453115738928,0.997756004333,-0.0341264605522
2021/01/19/22:13:02.547664,174,1611074582,547246812,world,-0.439497888088,-0.56433647871,0.703814446926,-0.0355263724923,0.0453357063234,0.997755765915,-0.034147631377
2021/01/19/22:13:02.557733,175,1611074582,557282812,world,-0.43949341774,-0.56432980299,0.703796386719,-0.0355817712843,0.0453174188733,0.997754752636,-0.0341448746622
2021/01/19/22:13:02.577585,176,1611074582,577219294,world,-0.439499139786,-0.564330935478,0.703804969788,-0.0354885868728,0.0452906265855,0.997759878635,-0.0341280885041
2021/01/19/22:13:02.597664,177,1611074582,597253701,world,-0.439506590366,-0.564343214035,0.70380884409,-0.0354758650064,0.0453116856515,0.997759401798,-0.0341262891889
2021/01/19/22:13:02.607692,178,1611074582,607280886,world,-0.439501345158,-0.564335584641,0.703804314137,-0.0355230011046,0.0452836565673,0.997759103775,-0.0341217629611
2021/01/19/22:13:02.627662,179,1611074582,627252812,world,-0.439492672682,-0.564332067966,0.703799426556,-0.0355064570904,0.0452510491014,0.997760653496,-0.0341374315321
2021/01/19/22:13:02.647680,180,1611074582,647248627,world,-0.439509660006,-0.564326643944,0.703803896904,-0.03550568223,0.0452452786267,0.99776083231,-0.0341425649822
2021/01/19/22:13:02.657717,181,1611074582,657279164,world,-0.439486116171,-0.564338624477,0.703805923462,-0.0354977436364,0.0453119687736,0.997758328915,-0.0341354720294
2021/01/19/22:13:02.677670,182,1611074582,677223664,world,-0.43952408433,-0.564322054386,0.703789293766,-0.0354140922427,0.0452331788838,0.997766852379,-0.0340771153569
2021/01/19/22:13:02.697693,183,1611074582,697254201,world,-0.439509034157,-0.56435328722,0.70380961895,-0.0355179607868,0.0453762561083,0.997753798962,-0.0341615229845
2021/01/19/22:13:02.707814,184,1611074582,707295257,world,-0.439496934414,-0.564331233501,0.703799188137,-0.0355202443898,0.0452796667814,0.997758865356,-0.0341365858912
2021/01/19/22:13:02.727730,185,1611074582,727249719,world,-0.439503580332,-0.564331889153,0.703815758228,-0.0355235412717,0.0452629104257,0.997760176659,-0.0341172628105
2021/01/19/22:13:02.747656,186,1611074582,747246831,world,-0.439506649971,-0.564338982105,0.703811883926,-0.035552803427,0.0453030355275,0.997756481171,-0.0341413579881
2021/01/19/22:13:02.757711,187,1611074582,757286849,world,-0.439513206482,-0.564340770245,0.703813433647,-0.0355448797345,0.0453041605651,0.99775826931,-0.0340969115496
2021/01/19/22:13:02.777684,188,1611074582,777259756,world,-0.439484000206,-0.564307332039,0.703829288483,-0.0355168320239,0.045129340142,0.997769117355,-0.0340400151908
2021/01/19/22:13:02.797679,189,1611074582,797250886,world,-0.439513653517,-0.564189553261,0.703844189644,-0.0352849476039,0.0451469123363,0.997786819935,-0.0337391234934
2021/01/19/22:13:02.807784,190,1611074582,807264849,world,-0.439482569695,-0.563877403736,0.703944087029,-0.0343139283359,0.0446634665132,0.99787157774,-0.0328642688692
2021/01/19/22:13:02.827671,191,1611074582,827245719,world,-0.439636617899,-0.563399553299,0.704057216644,-0.0334538444877,0.0440769828856,0.997957825661,-0.0319101847708
2021/01/19/22:13:02.847659,192,1611074582,847250349,world,-0.440030366182,-0.562792301178,0.70413339138,-0.0334732346237,0.0445965714753,0.997969925404,-0.0307711679488
2021/01/19/22:13:02.857705,193,1611074582,857281738,world,-0.440663278103,-0.561792075634,0.704235374928,-0.0336446873844,0.0447816066444,0.998051941395,-0.0274776685983
2021/01/19/22:13:02.877754,194,1611074582,877252368,world,-0.44157075882,-0.560890436172,0.704256117344,-0.0331565476954,0.0447473302484,0.998127818108,-0.0252843890339
2021/01/19/22:13:02.897744,195,1611074582,897249608,world,-0.442465096712,-0.559875488281,0.704266011715,-0.032146897167,0.0450336113572,0.998234510422,-0.021599592641
2021/01/19/22:13:02.907804,196,1611074582,907266090,world,-0.443668425083,-0.55893433094,0.704176008701,-0.0328120999038,0.0464071370661,0.998233735561,-0.0173004455864
2021/01/19/22:13:02.927655,197,1611074582,927253590,world,-0.445153027773,-0.557974636555,0.704128324986,-0.0323991663754,0.0456779189408,0.998318433762,-0.0149746816605
2021/01/19/22:13:02.947664,198,1611074582,947246608,world,-0.446666508913,-0.556856334209,0.704163730145,-0.0339756421745,0.0452832765877,0.998337209225,-0.0108605986461
2021/01/19/22:13:02.957756,199,1611074582,957278256,world,-0.448175042868,-0.55553239584,0.704198300838,-0.032126609236,0.0459448881447,0.998400866985,-0.00726316822693
2021/01/19/22:13:02.977753,200,1611074582,977255793,world,-0.449641495943,-0.554211318493,0.704196929932,-0.0324407741427,0.0459011830389,0.998415887356,-0.00257112598047
2021/01/19/22:13:02.997674,201,1611074582,997247942,world,-0.451160371304,-0.552904367447,0.704182624817,-0.0328444354236,0.0469777956605,0.998354971409,0.00135441147722
2021/01/19/22:13:03.007780,202,1611074583,7264034,world,-0.452857404947,-0.551536679268,0.704180002213,-0.0317754074931,0.0459197983146,0.998430013657,0.00437663681805
2021/01/19/22:13:03.027685,203,1611074583,27246145,world,-0.45442083478,-0.550121963024,0.704250097275,-0.032468970865,0.0461019463837,0.998360335827,0.00985892582685
2021/01/19/22:13:03.047680,204,1611074583,47246071,world,-0.456052452326,-0.548887372017,0.704158127308,-0.0328857526183,0.0464153178036,0.998296916485,0.0129447132349
2021/01/19/22:13:03.057797,205,1611074583,57274590,world,-0.457387804985,-0.547562003136,0.704226374626,-0.0325123034418,0.0467981286347,0.998229265213,0.0170669108629
2021/01/19/22:13:03.077593,206,1611074583,77222534,world,-0.458864748478,-0.546259760857,0.704368531704,-0.0313017964363,0.0469539612532,0.99820625782,0.0199991520494
2021/01/19/22:13:03.097669,207,1611074583,97254071,world,-0.460596829653,-0.54510653019,0.704398095608,-0.0314219854772,0.0461162254214,0.998147428036,0.0242415107787
2021/01/19/22:13:03.107693,208,1611074583,107282682,world,-0.462280750275,-0.543912827969,0.70436924696,-0.0318349339068,0.0471865162253,0.997986257076,0.0279904641211
2021/01/19/22:13:03.127716,209,1611074583,127247016,world,-0.464053243399,-0.542605698109,0.70454287529,-0.0302860047668,0.0469405986369,0.997940719128,0.0315245911479
2021/01/19/22:13:03.147685,210,1611074583,147285053,world,-0.466221868992,-0.541414558887,0.704552710056,-0.030386660248,0.0471842139959,0.997798502445,0.035333327949
2021/01/19/22:13:03.157796,211,1611074583,157274053,world,-0.468400210142,-0.540231704712,0.704534053802,-0.0305334869772,0.047200396657,0.997662961483,0.038839597255
2021/01/19/22:13:03.177728,212,1611074583,177254016,world,-0.470866590738,-0.538929879665,0.704549431801,-0.0309804826975,0.0473116226494,0.997504651546,0.0422656796873
2021/01/19/22:13:03.197680,213,1611074583,197249238,world,-0.473179042339,-0.537537574768,0.704615294933,-0.0308562703431,0.0487900860608,0.997310638428,0.0451560802758
2021/01/19/22:13:03.207658,214,1611074583,207268793,world,-0.475727885962,-0.53612613678,0.704646587372,-0.0306445267051,0.0481756590307,0.997212052345,0.048044744879
2021/01/19/22:13:03.227723,215,1611074583,227270867,world,-0.478079468012,-0.534739077091,0.704640746117,-0.0308795254678,0.048113193363,0.996984362602,0.0524761676788
2021/01/19/22:13:03.247705,216,1611074583,247277738,world,-0.480751007795,-0.533452093601,0.704753220081,-0.0297060217708,0.0478308908641,0.996853232384,0.0557980313897
2021/01/19/22:13:03.257692,217,1611074583,257282182,world,-0.483318954706,-0.532093882561,0.704682350159,-0.0296150706708,0.0488671511412,0.996606707573,0.0592465959489
2021/01/19/22:13:03.277582,218,1611074583,277223812,world,-0.486556380987,-0.530735969543,0.704622983932,-0.0288266316056,0.0474498569965,0.996496737003,0.062545068562
2021/01/19/22:13:03.297688,219,1611074583,297257849,world,-0.489846110344,-0.52925825119,0.704486310482,-0.0306550394744,0.0479118600488,0.99619024992,0.0661044567823
2021/01/19/22:13:03.307728,220,1611074583,307275904,world,-0.493101447821,-0.527718305588,0.704351186752,-0.0306474138051,0.0486137494445,0.995931565762,0.0694101974368
2021/01/19/22:13:03.327758,221,1611074583,327248256,world,-0.496122330427,-0.526250839233,0.70440530777,-0.0299276188016,0.0477897450328,0.995736896992,0.0729966685176
2021/01/19/22:13:03.347660,222,1611074583,347247589,world,-0.499008595943,-0.524591982365,0.704450309277,-0.0303866863251,0.0489030815661,0.995382905006,0.0767982527614
2021/01/19/22:13:03.357784,223,1611074583,357276923,world,-0.502076506615,-0.522922515869,0.704520761967,-0.0295108612627,0.0487839430571,0.995171785355,0.0798903852701
2021/01/19/22:13:03.377761,224,1611074583,377320756,world,-0.50519734621,-0.521037697792,0.704613745213,-0.0279983691871,0.0475068874657,0.994943678379,0.0839425325394
2021/01/19/22:13:03.397732,225,1611074583,397250201,world,-0.508579313755,-0.519160866737,0.704461157322,-0.0290553700179,0.0484516210854,0.99458605051,0.0872165486217
2021/01/19/22:13:03.407656,226,1611074583,407261701,world,-0.51180845499,-0.517421543598,0.70446485281,-0.0286688264459,0.0481924004853,0.994259595871,0.0911233276129
2021/01/19/22:13:03.427681,227,1611074583,427257386,world,-0.515212595463,-0.515634655952,0.704385995865,-0.0274417567998,0.0494966283441,0.993931651115,0.0943236276507
2021/01/19/22:13:03.447659,228,1611074583,447248460,world,-0.518846988678,-0.514032363892,0.70447742939,-0.0297917947173,0.0494446232915,0.993445932865,0.0986561104655
2021/01/19/22:13:03.457798,229,1611074583,457279219,world,-0.522443473339,-0.512285232544,0.704238951206,-0.0298312995583,0.0493517071009,0.993177175522,0.101359464228
2021/01/19/22:13:03.477756,230,1611074583,477257867,world,-0.525692284107,-0.510383069515,0.704377889633,-0.0283372942358,0.0493880137801,0.992797374725,0.105409801006
2021/01/19/22:13:03.497670,231,1611074583,497246460,world,-0.528762936592,-0.508407115936,0.704753100872,-0.0279934350401,0.0493504293263,0.992454528809,0.108697190881
2021/01/19/22:13:03.507665,232,1611074583,507266849,world,-0.531689524651,-0.506608366966,0.704969108105,-0.0276986695826,0.0479605942965,0.992092013359,0.112632036209
2021/01/19/22:13:03.527699,233,1611074583,527279200,world,-0.534933745861,-0.504303455353,0.70520144701,-0.0266605671495,0.0482723712921,0.991622328758,0.116807863116
2021/01/19/22:13:03.547673,234,1611074583,547272367,world,-0.538850367069,-0.501925528049,0.705121636391,-0.0263760760427,0.0485659912229,0.991214156151,0.120167285204
2021/01/19/22:13:03.557723,235,1611074583,557265700,world,-0.542795360088,-0.499560475349,0.705029249191,-0.027095567435,0.0489163398743,0.990863978863,0.12272632122
2021/01/19/22:13:03.577563,236,1611074583,577222515,world,-0.546590864658,-0.497142970562,0.705058932304,-0.0269826054573,0.04989939183,0.990364432335,0.126334473491
2021/01/19/22:13:03.597700,237,1611074583,597249682,world,-0.550261676311,-0.495211094618,0.705327212811,-0.0261003244668,0.0498823449016,0.989754915237,0.131208717823
2021/01/19/22:13:03.607693,238,1611074583,607305386,world,-0.554021775723,-0.493146210909,0.705380618572,-0.0247485972941,0.0480160415173,0.989567399025,0.133560433984
